player1,player2,kills,deaths
1200,1048,4,0
1200,1040,3,1
1200,1042,10,1
1200,1102,5,1
1043,1029,14,2
1200,1059,11,7
1200,1050,11,3
1176,1014,1,4
1176,1200,2,2
1200,1091,4,0
1109,1091,6,1
1050,1091,10,1
1014,1059,3,4
1052,1091,5,1
1136,1052,6,6
1059,1136,3,13
1200,1004,3,1
1052,1200,6,3
1136,1156,4,0
1200,1084,5,0
1014,1116,9,3
1200,1028,4,0
1214,1116,2,3
1014,1164,9,1
1004,1164,4,1
1091,1116,3,2
1004,1116,6,0
1052,1213,3,2
1052,1008,17,10
1052,1179,3,1
1014,1172,4,0
1014,1189,4,0
1014,1218,6,0
1187,1217,6,0
1014,1217,10,0
1116,1219,5,2
1179,1217,5,0
1050,1217,6,0
1045,1001,6,2
1045,1224,4,0
1039,1217,4,1
1224,1217,7,0
1225,1019,2,3
1164,1055,2,4
1164,1002,1,5
1055,1217,4,0
1224,1014,6,1
1224,1057,4,1
1039,1087,3,1
1002,1227,6,0
1039,1124,3,1
1014,1227,5,0
1006,1018,7,9
1065,1008,4,2
1074,1230,3,1
1224,1006,6,0
1014,1159,4,1
1224,1168,9,0
1168,1231,11,0
1168,1159,4,7
1014,1168,6,3
1159,1231,5,0
1168,1227,5,0
1159,1102,10,0
1159,1190,4,0
1190,1211,3,2
1214,1043,4,4
1043,1233,4,0
1043,1116,4,0
1200,1029,5,0
1043,1200,12,6
1200,1146,4,0
1200,1234,8,4
1200,1132,9,0
1214,1050,3,1
1214,1109,4,1
1109,1194,3,2
1201,1050,3,1
1194,1214,2,3
1214,1065,2,3
1091,1224,2,3
1224,1116,18,6
1201,1091,4,0
1201,1186,4,0
1065,1091,5,0
1187,1168,3,1
1176,1175,9,2
1224,1176,3,3
1224,1069,7,0
1014,1214,5,0
1014,1069,11,1
1087,1132,4,0
1245,1014,5,3
1245,1224,2,2
1014,1179,29,0
1014,1248,6,0
1179,1004,3,1
1200,1149,1,3
1043,1004,14,4
1201,1004,4,0
1053,1201,2,7
1201,1014,16,16
1043,1060,4,0
1040,1033,3,3
1043,1087,5,2
1042,1116,1,3
1079,1004,3,2
1087,1180,2,2
1087,1059,4,3
1087,1004,12,7
1059,1057,7,0
1014,1043,2,3
1043,1069,12,0
1076,1043,5,7
1043,1080,6,0
1003,1069,4,0
1043,1077,16,2
1076,1003,4,2
1004,1191,5,0
1253,1191,4,2
1254,1191,4,0
1043,1130,5,1
1023,1043,1,3
1014,1255,4,0
1130,1018,3,3
1040,1130,9,4
1014,1112,5,0
1256,1040,5,3
1043,1256,2,3
1043,1257,4,0
1201,1257,5,0
1014,1050,4,1
1257,1257,5,0
1014,1257,10,0
1200,1257,6,0
1043,1059,13,6
1014,1132,6,0
1014,1140,9,1
1200,1069,4,1
1009,1004,4,1
1043,1009,1,3
1065,1087,2,4
1053,1059,3,3
1058,1132,6,0
1008,1200,1,5
1008,1132,6,0
1086,1043,1,3
1086,1033,3,1
1045,1033,4,0
1039,1257,6,1
1039,1140,3,2
1243,1140,4,1
1263,1264,7,0
1259,1261,1,3
1003,1139,2,2
1003,1087,2,2
1224,1265,8,6
1008,1224,3,7
1224,1003,6,0
1002,1191,5,0
1002,1019,7,0
1014,1191,4,0
1266,1168,5,0
1266,1253,4,0
1033,1168,9,1
1168,1243,6,3
1035,1168,5,0
1243,1082,3,1
1037,1035,4,4
1168,1082,4,1
1037,1269,5,0
1037,1040,2,2
1002,1045,4,0
1039,1052,9,8
1052,1256,3,11
1039,1256,5,4
1002,1067,4,1
1201,1067,11,0
1201,1028,4,0
1039,1111,13,9
1052,1270,3,1
1052,1224,10,3
1224,1060,13,5
1052,1077,9,5
1059,1257,8,1
1059,1069,11,0
1040,1244,1,4
1058,1257,6,0
1052,1275,4,1
1179,1257,7,0
1002,1166,27,1
1087,1076,6,3
1087,1140,9,1
1274,1224,1,6
1002,1086,5,0
1087,1136,1,12
1277,1018,4,1
1277,1168,13,4
1276,1168,2,4
1278,1168,4,4
1278,1276,9,1
1168,1280,5,0
1140,1146,4,1
1140,1102,4,0
1140,1040,1,3
1035,1040,3,10
1014,1082,5,1
1109,1050,5,2
1028,1061,1,5
1130,1257,6,0
1059,1224,2,3
1042,1257,4,2
1275,1224,1,3
1008,1116,2,2
1001,1224,6,0
1243,1055,8,7
1201,1275,3,1
1201,1055,3,2
1014,1285,9,0
1086,1224,3,4
1224,1285,6,0
1287,1168,10,1
1168,1288,2,2
1100,1283,3,3
1037,1102,5,0
1082,1102,9,0
1168,1102,4,0
1100,1168,5,1
1130,1023,6,3
1023,1159,2,9
1159,1082,5,0
1275,1285,9,1
1050,1285,5,1
1243,1285,5,0
1116,1243,4,1
1053,1285,4,0
1224,1023,4,2
1052,1023,3,2
1040,1180,3,1
1053,1107,6,0
1201,1107,5,0
1275,1271,5,0
1043,1275,4,1
1043,1244,5,1
1297,1014,1,4
1224,1299,4,0
1224,1297,4,1
1159,1224,5,3
1224,1018,8,1
1014,1291,7,1
1224,1291,4,0
1302,1190,3,1
1168,1304,28,13
1023,1044,2,4
1037,1087,2,2
1300,1091,4,0
1035,1304,14,3
1304,1050,2,6
1241,1306,9,0
1241,1299,7,1
1241,1304,5,0
1116,1201,4,6
1014,1306,12,0
1241,1043,5,1
1306,1018,2,16
1018,1285,14,2
1018,1304,3,1
1018,1271,4,0
1018,1299,13,6
1241,1243,4,0
1052,1032,4,0
1082,1299,4,0
1082,1065,3,3
1301,1299,1,3
1032,1285,12,0
1032,1271,6,1
1001,1091,10,0
1285,1299,2,2
1060,1018,3,2
1059,1300,2,2
1003,1299,6,1
1003,1168,3,2
1018,1289,12,0
1001,1308,2,2
1308,1136,2,10
1136,1299,24,0
1136,1304,4,0
1003,1304,3,2
1052,1168,6,0
1052,1304,10,0
1224,1035,6,4
1201,1168,9,0
1168,1291,2,2
1224,1100,4,4
1111,1169,3,1
1243,1111,2,5
1050,1144,3,1
1050,1224,6,6
1241,1179,12,0
1136,1314,4,0
1136,1168,16,2
1149,1059,4,1
1314,1256,2,6
1149,1028,11,0
1136,1317,7,0
1109,1003,4,4
1149,1003,4,2
1149,1304,4,0
1052,1006,2,2
1003,1130,4,0
1003,1285,2,3
1135,1089,4,1
1135,1050,2,2
1039,1241,4,2
1018,1321,10,0
1316,1285,2,3
1135,1215,9,7
1014,1144,5,0
1168,1137,1,3
1329,1304,4,0
1072,1304,5,0
1111,1304,3,1
1111,1201,3,1
1111,1028,6,0
1003,1319,3,2
1052,1125,2,3
1183,1135,6,2
1256,1072,4,0
1136,1224,4,1
1136,1091,4,0
1014,1340,9,1
1006,1340,5,0
1340,1019,1,4
1019,1341,4,0
1078,1062,5,0
1006,1072,2,2
1006,1178,6,1
1178,1008,3,2
1008,1254,3,1
