"","player1","player2","kills","deaths","win.rate"
"1",1001,1002,8,5,0.55505731026512
"2",1004,1005,3,1,0.561688714831821
"3",1002,1006,5,0,0.672407510517559
"4",1008,1009,0,5,0.289286872485196
"5",1012,1013,8,2,0.649572100300113
"6",1018,1019,3,7,0.371922787178545
"7",1021,1022,0,6,0.268407992105419
"8",1023,1024,6,0,0.695449089703642
"9",1025,1026,0,4,0.313692288112888
"10",1023,1027,7,1,0.669574508888989
"11",1031,1032,3,1,0.561688714831821
"12",1032,1033,0,4,0.313692288112888
"13",1039,1040,47,24,0.637386997241909
"14",1001,1042,20,0,0.846624618205263
"15",1018,1043,0,12,0.187317440126488
"16",1028,1045,0,21,0.128913332954686
"17",1018,1044,1,6,0.315628202426355
"18",1035,1050,35,4,0.821250566902563
"19",1001,1052,12,19,0.398488092063667
"20",1001,1050,17,4,0.711332876081848
"21",1048,1050,10,5,0.593199598448365
"22",1048,1052,0,4,0.313692288112888
"23",1052,1053,6,3,0.570088727958672
"24",1054,1055,0,7,0.250342156036046
"25",1001,1055,6,0,0.695449089703642
"26",1035,1053,5,8,0.41249616485111
"27",1023,1056,5,0,0.672407510517559
"28",1033,1058,2,6,0.357214643133138
"29",1059,1060,10,2,0.684168085220315
"30",1059,1062,6,1,0.647895433326704
"31",1063,1066,0,4,0.313692288112888
"32",1059,1067,4,14,0.294404403229381
"33",1044,1056,3,1,0.561688714831821
"34",1058,1068,4,0,0.645604033971766
"35",1052,1059,51,15,0.735464847343728
"36",1052,1062,6,1,0.647895433326704
"37",1044,1060,4,2,0.551365965377956
"38",1050,1059,6,12,0.370456429083047
"39",1050,1052,4,4,0.481248948733334
"40",1050,1058,1,3,0.395715728907418
"41",1058,1059,6,1,0.647895433326704
"42",1052,1067,5,2,0.58072378364636
"43",1052,1058,4,8,0.383769234688249
"44",1050,1067,5,5,0.48230845109725
"45",1004,1058,0,7,0.250342156036046
"46",1042,1050,14,37,0.296179633311658
"47",1042,1059,3,26,0.179864884400418
"48",1058,1069,5,0,0.672407510517559
"49",1004,1069,10,0,0.76234683912645
"50",1046,1069,7,0,0.715467261367183
"51",1004,1059,27,14,0.622173477610218
"52",1029,1069,8,0,0.733019503581283
"53",1050,1069,7,0,0.715467261367183
"54",1050,1073,4,4,0.481248948733334
"55",1076,1077,5,6,0.456544642317158
