"","player1","win.rate","rank"
"34",1043,0.762728981141644,1
"95",1136,0.745366009486109,2
"141",1224,0.697628855567756,3
"40",1052,0.694775315168534,4
"46",1058,0.68514268656034,5
"2",1002,0.684071795077494,6
"133",1201,0.671117658359899,7
"31",1039,0.644553167433472,8
"12",1014,0.638792802562709,9
"36",1045,0.634627342042397,10
"156",1256,0.631595032483001,11
"132",1200,0.628633008411379,12
"1",1001,0.602350735282808,13
"28",1035,0.600814506856905,14
"148",1241,0.598065524048891,15
"4",1004,0.596847971417948,16
"151",1245,0.593673557936262,17
"9",1009,0.591085557774556,18
"83",1111,0.589056507647926,19
"96",1137,0.573075115417582,20
"170",1277,0.571452966571239,21
"35",1044,0.569485003470978,22
"104",1149,0.563685071049161,23
"32",1040,0.562367496023028,24
"53",1065,0.561578187189675,25
"21",1026,0.556410782131487,26
"108",1159,0.555806424745336,27
"175",1287,0.553873924360613,28
"92",1130,0.550652720687846,29
"70",1087,0.547874544445979,30
"27",1033,0.543119437117162,31
"81",1109,0.543049640936377,32
"47",1059,0.541413947275305,33
"90",1125,0.540664733233473,34
"163",1266,0.537694162994134,35
"61",1074,0.536491355588529,36
"74",1100,0.532355407429125,37
"30",1038,0.531847925722294,38
"136",1214,0.531667051544783,39
"118",1176,0.531149930342403,40
"59",1072,0.530426720855378,41
"64",1078,0.528470932686928,42
"29",1037,0.527256361479547,43
"3",1003,0.525982139859248,44
"75",1101,0.525604937966471,45
"168",1275,0.525376203418126,46
"88",1122,0.523694574045886,47
"62",1076,0.522403278981118,48
"41",1053,0.514160467954617,49
"179",1297,0.511901993578679,50
"39",1050,0.507841155519104,51
"71",1089,0.507723577476894,52
"94",1135,0.507295085592393,53
"131",1197,0.506701719258432,54
"135",1213,0.50654711710628,55
"18",1023,0.505909428874151,56
"69",1086,0.505623852027609,57
"130",1194,0.505159447911359,58
"65",1079,0.50417178277844,59
"162",1265,0.501656463063634,60
"165",1270,0.501059881676367,61
"55",1067,0.499581818626396,62
"181",1300,0.498042818453249,63
"107",1158,0.494052234307547,64
"150",1244,0.492446262182235,65
"122",1182,0.491384582487903,66
"24",1029,0.490789149610226,67
"155",1255,0.490461822431964,68
"37",1046,0.488995772994703,69
"147",1234,0.4859559578842,70
"15",1019,0.485443274003199,71
"192",1329,0.484598270394297,72
"123",1183,0.483594483948367,73
"176",1288,0.482161548146279,74
"102",1147,0.482066800212823,75
"106",1156,0.481265480884472,76
"8",1008,0.48085774551915,77
"25",1031,0.480614129781398,78
"178",1291,0.48023201475964,79
"186",1308,0.479998734145816,80
"73",1099,0.479911549787432,81
"52",1064,0.479906681500565,82
"86",1116,0.479301311485032,83
"97",1139,0.479120172777781,84
"109",1161,0.478559299198433,85
"171",1278,0.477856708223848,86
"78",1106,0.477741988997237,87
"58",1071,0.477361366533904,88
"142",1225,0.47717744901517,89
"187",1314,0.477134347313954,90
"54",1066,0.477067560041426,91
"160",1263,0.47660131656454,92
"17",1022,0.476405007246329,93
"56",1068,0.476386343505813,94
"183",1302,0.476260647959043,95
"115",1169,0.476073307814404,96
"127",1189,0.475976358459156,97
"10",1012,0.475917603218044,98
"91",1128,0.475914649763137,99
"116",1172,0.475547288596528,100
"144",1230,0.47530836583558,101
"159",1261,0.475059295330485,102
"173",1283,0.475030251237363,103
"158",1259,0.473348233619924,104
"137",1215,0.472916309574444,105
"111",1163,0.472648390789939,106
"13",1015,0.472492879187272,107
"11",1013,0.472489925732364,108
"16",1021,0.472002521704079,109
"105",1154,0.471912100626079,110
"161",1264,0.471806212385869,111
"190",1319,0.471530428346352,112
"154",1254,0.47128794542484,113
"124",1186,0.4711780151283,114
"134",1211,0.471079158598299,115
"7",1007,0.470820667647568,116
"153",1253,0.470652499862571,117
"103",1148,0.470101046826714,118
"49",1061,0.470050506038467,119
"128",1190,0.469478317172065,120
"194",1341,0.468908374023619,121
"51",1063,0.467600003203863,122
"63",1077,0.466811706383291,123
"164",1269,0.465928676305952,124
"82",1110,0.464932207839986,125
"5",1005,0.464916909735233,126
"188",1316,0.464878035888144,127
"182",1301,0.464827565078581,128
"110",1162,0.464277428056294,129
"152",1248,0.46412665175328,130
"126",1188,0.463948561130737,131
"101",1146,0.46258892081817,132
"26",1032,0.462130046318235,133
"167",1274,0.461888821622195,134
"44",1056,0.461194752384686,135
"125",1187,0.460523230138315,136
"189",1317,0.460189865962055,137
"140",1219,0.459963683775124,138
"149",1243,0.459093973444095,139
"22",1027,0.459079429706144,140
"119",1178,0.458657916695759,141
"84",1112,0.456354448740936,142
"68",1084,0.455384782751156,143
"146",1233,0.4545833931352,144
"77",1103,0.453800337165544,145
"99",1144,0.453738016959849,146
"139",1218,0.453605920607318,147
"38",1048,0.453176099198141,148
"129",1191,0.452306325785167,149
"19",1024,0.451892752988714,150
"87",1121,0.45180552850236,151
"20",1025,0.45100715909811,152
"98",1140,0.450819755045768,153
"60",1073,0.447609007514695,154
"169",1276,0.446674317170975,155
"80",1108,0.446374371381415,156
"112",1164,0.44585463098292,157
"6",1006,0.444539438365878,158
"72",1091,0.443870856123522,159
"66",1080,0.442998145785959,160
"114",1168,0.442359050747696,161
"166",1271,0.442042674848106,162
"48",1060,0.44016252129358,163
"14",1018,0.439762236482535,164
"121",1180,0.43780296530569,165
"85",1113,0.436585103105957,166
"67",1082,0.434108148371453,167
"117",1175,0.432560545967952,168
"43",1055,0.430231321972935,169
"50",1062,0.429161571846323,170
"89",1124,0.42874335104384,171
"191",1321,0.42603688783829,172
"113",1166,0.423871328694309,173
"45",1057,0.423641791296651,174
"33",1042,0.423494988646106,175
"193",1340,0.423401877260043,176
"177",1289,0.418132353285999,177
"143",1227,0.415676922660685,178
"172",1280,0.41302123955948,179
"184",1304,0.411345490713925,180
"100",1145,0.403929003609919,181
"76",1102,0.39953983988973,182
"174",1285,0.397708704479268,183
"42",1054,0.397626069492038,184
"120",1179,0.389644878101049,185
"79",1107,0.387960461626872,186
"180",1299,0.386910764174347,187
"145",1231,0.380440534009693,188
"157",1257,0.376425151482152,189
"93",1132,0.375659544779891,190
"185",1306,0.375512385076886,191
"138",1217,0.3648747237605,192
"57",1069,0.344823878724218,193
"23",1028,0.336257185276828,194
